x,y
476763.6702,5116452.662
476763.6967,5116451.9741
476763.7628,5116450.9158
476763.7893,5116450.0824
476763.9083,5116449.2357
476764.4243,5116447.635
476764.6227,5116446.4179
476764.5963,5116445.849
476763.485,5116444.8171
476762.7812,5116444.5172
476761.8975,5116443.1238
476760.4026,5116440.0414
476760.1696,5116439.3358
476759.5427,5116438.401
476758.9053,5116437.21
476758.405,5116435.7022
476758.3555,5116435.3719
476757.7634,5116434.3459
476757.7589,5116433.9478
476757.7527,5116433.7503
476757.7423,5116433.5544
476757.7258,5116433.3608
476757.7006,5116433.1705
476757.6633,5116432.9846
476757.6097,5116432.8048
476757.5476,5116432.656
476757.4739,5116432.5113
476757.3926,5116432.3691
476757.1378,5116431.9428
476757.06,5116431.7959
476756.9858,5116431.6332
476756.9194,5116431.4662
476756.8582,5116431.296
476756.6306,5116430.6095
476756.4518,5116430.101
476756.3213,5116429.7681
476756.1124,5116429.2913
476756.0433,5116429.1408
476755.9696,5116428.9931
476755.88,5116428.8335
476755.6894,5116428.5188
476755.5948,5116428.3563
476755.5036,5116428.1913
476755.3306,5116427.8558
476755.2493,5116427.6859
476755.1721,5116427.5148
476755.1001,5116427.3427
476754.9586,5116426.9833
476754.8888,5116426.829
476754.627,5116426.2953
476754.2385,5116425.4689
476754.1571,5116425.2853
476754.1494,5116425.2597
476754.15,5116425.25
